offer,date_time,conversion_ip,source,sub_id_1,sub_id_2,sub_id_3,sub_id_4,sub_id_5,payout,status
1346 API_USD,2016-05-08 23:16:41,198.232.218.254,,,,,,wwcn-30,1.8,approved
1346 API_USD,2016-05-08 23:16:17,198.232.218.254,,,,,,wwcn-416642,1.8,approved
1346 API_USD,2016-05-08 23:10:42,198.232.218.254,,,,,,wwcn-78102,1.8,approved
1346 API_USD,2016-05-08 23:05:13,198.232.218.254,,,,,,wwcn-390157,1.8,approved
1346 API_USD,2016-05-08 22:59:07,198.232.218.254,,,,,,wwcn-408691,1.8,approved
1346 API_USD,2016-05-08 22:38:58,198.232.218.254,,,,,,wwcn-260842,1.8,approved
1346 API_USD,2016-05-08 22:32:35,198.232.218.254,,,,,,wwcn-81482,1.8,approved
1346 API_USD,2016-05-08 22:30:26,198.232.218.254,,,,,,wwcn-217758,1.8,approved
1346 API_USD,2016-05-08 22:19:57,198.232.218.254,,,,,,wwcn-1744,1.8,approved
1346 API_USD,2016-05-08 22:15:55,198.232.218.254,,,,,,wwcn-1744,1.8,approved
1346 API_USD,2016-05-08 22:06:52,198.232.218.254,,,,,,wwcn-1744,1.8,approved
1346 API_USD,2016-05-08 22:02:15,198.232.218.254,,,,,,wwcn-805,1.8,approved
1346 API_USD,2016-05-08 21:54:48,198.232.218.254,,,,,,wwcn-24231,1.8,approved
1346 API_USD,2016-05-08 21:34:48,198.232.218.254,,,,,,wwcn-4471,1.8,approved
1346 API_USD,2016-05-08 21:23:57,198.232.218.254,,,,,,wwcn-217758,1.8,approved
1346 API_USD,2016-05-08 21:15:28,198.232.218.254,,,,,,wwcn-2862,1.8,approved
1346 API_USD,2016-05-08 21:02:33,198.232.218.254,,,,,,wwcn-146949,1.8,approved
1346 API_USD,2016-05-08 20:58:24,198.232.218.254,,,,,,wwcn-283503,1.8,approved
1346 API_USD,2016-05-08 20:47:07,198.232.218.254,,,,,,wwcn-11999,1.8,approved
1346 API_USD,2016-05-08 20:36:50,198.232.218.254,,,,,,wwcn-22798,1.8,approved
1346 API_USD,2016-05-08 20:14:10,198.232.218.254,,,,,,wwcn-12406,1.8,approved
1346 API_USD,2016-05-08 20:13:27,198.232.218.254,,,,,,wwcn-8091,1.8,approved
1346 API_USD,2016-05-08 20:11:09,198.232.218.254,,,,,,wwcn-113985,1.8,approved
1346 API_USD,2016-05-08 20:00:47,198.232.218.254,,,,,,wwcn-410068,1.8,approved
1346 API_USD,2016-05-08 19:56:18,198.232.218.254,,,,,,wwcn-15376,1.8,approved
1346 API_USD,2016-05-08 19:45:42,198.232.218.254,,,,,,wwcn-16792,1.8,approved
1346 API_USD,2016-05-08 19:44:10,198.232.218.254,,,,,,wwcn-7316,1.8,approved
1346 API_USD,2016-05-08 19:34:47,198.232.218.254,,,,,,wwcn-16792,1.8,approved
1346 API_USD,2016-05-08 19:28:06,198.232.218.254,,,,,,wwcn-299454,1.8,approved
1346 API_USD,2016-05-08 19:23:42,198.232.218.254,,,,,,wwcn-146949,1.8,approved
1346 API_USD,2016-05-08 19:20:31,198.232.218.254,,,,,,wwcn-348948,1.8,approved
1346 API_USD,2016-05-08 19:18:47,198.232.218.254,,,,,,wwcn-1393,1.8,approved
1346 API_USD,2016-05-08 19:10:24,198.232.218.254,,,,,,wwcn-1393,1.8,approved
1346 API_USD,2016-05-08 19:06:00,198.232.218.254,,,,,,wwcn-338374,1.8,approved
1346 API_USD,2016-05-08 19:05:43,198.232.218.254,,,,,,wwcn-56046,1.8,approved
1346 API_USD,2016-05-08 18:59:57,198.232.218.254,,,,,,wwcn-18132,1.8,approved
1346 API_USD,2016-05-08 18:48:43,198.232.218.254,,,,,,wwcn-512,1.8,approved
1346 API_USD,2016-05-08 18:46:21,198.232.218.254,,,,,,wwcn-5100,1.8,approved
1346 API_USD,2016-05-08 18:42:51,198.232.218.254,,,,,,wwcn-22720,1.8,approved
1346 API_USD,2016-05-08 18:36:28,198.232.218.254,,,,,,wwcn-24231,1.8,approved
1346 API_USD,2016-05-08 18:26:57,198.232.218.254,,,,,,wwcn-18132,1.8,approved
1346 API_USD,2016-05-08 18:26:39,198.232.218.254,,,,,,wwcn-20480,1.8,approved
1346 API_USD,2016-05-08 18:18:56,198.232.218.254,,,,,,wwcn-412522,1.8,approved
1346 API_USD,2016-05-08 18:08:12,198.232.218.254,,,,,,wwcn-16973,1.8,approved
1346 API_USD,2016-05-08 18:04:22,198.232.218.254,,,,,,wwcn-8535,1.8,approved
1346 API_USD,2016-05-08 17:21:35,198.232.218.254,,,,,,wwcn-5930,1.8,approved
